"uuid","muniid","municipality","hosp_number","population","hosp_number_per_inhabitants","date"
"501-20200401","501","Brielle",5,17282,28.9,"2020-04-01"
"1876-20200401","1876","Bronckhorst",1,36052,2.8,"2020-04-01"
"213-20200401","213","Brummen",4,20756,19.3,"2020-04-01"
"899-20200401","899","Brunssum",9,27817,32.4,"2020-04-01"
"312-20200401","312","Bunnik",4,15191,26.3,"2020-04-01"
"313-20200401","313","Bunschoten",2,21867,9.1,"2020-04-01"
"214-20200401","214","Buren",5,26742,18.7,"2020-04-01"
"502-20200401","502","Capelle aan den IJssel",22,67151,32.8,"2020-04-01"
"383-20200401","383","Castricum",8,35988,22.2,"2020-04-01"
"109-20200401","109","Coevorden",6,35296,17,"2020-04-01"
"1706-20200401","1706","Cranendonck",35,21166,165.4,"2020-04-01"
"1684-20200401","1684","Cuijk",6,25139,23.9,"2020-04-01"
"216-20200401","216","Culemborg",15,28956,51.8,"2020-04-01"
"148-20200401","148","Dalfsen",7,28585,24.5,"2020-04-01"
"1891-20200401","1891","Dantumadiel",0,18916,0,"2020-04-01"
"310-20200401","310","De Bilt",13,43124,30.1,"2020-04-01"
"1940-20200401","1940","De Fryske Marren",11,51567,21.3,"2020-04-01"
"736-20200401","736","De Ronde Venen",12,44457,27,"2020-04-01"
"1690-20200401","1690","De Wolden",2,24327,8.2,"2020-04-01"
"503-20200401","503","Delft",22,103659,21.2,"2020-04-01"
"10-20200401","10","Delfzijl",4,24666,16.2,"2020-04-01"
"400-20200401","400","Den Helder",6,56305,10.7,"2020-04-01"
"762-20200401","762","Deurne",37,32474,113.9,"2020-04-01"
"150-20200401","150","Deventer",22,100718,21.8,"2020-04-01"
"384-20200401","384","Diemen",4,30781,13,"2020-04-01"
"1774-20200401","1774","Dinkelland",13,26470,49.1,"2020-04-01"
"221-20200401","221","Doesburg",3,11078,27.1,"2020-04-01"
"222-20200401","222","Doetinchem",5,58009,8.6,"2020-04-01"
"766-20200401","766","Dongen",7,26226,26.7,"2020-04-01"
"505-20200401","505","Dordrecht",30,119300,25.1,"2020-04-01"
"498-20200401","498","Drechterland",1,19717,5.1,"2020-04-01"
"1719-20200401","1719","Drimmelen",14,27274,51.3,"2020-04-01"
"303-20200401","303","Dronten",10,41569,24.1,"2020-04-01"
"225-20200401","225","Druten",13,18918,68.7,"2020-04-01"
"226-20200401","226","Duiven",4,25124,15.9,"2020-04-01"
"1711-20200401","1711","Echt-Susteren",22,31618,69.6,"2020-04-01"
"385-20200401","385","Edam-Volendam",10,36201,27.6,"2020-04-01"
"228-20200401","228","Ede",29,117166,24.8,"2020-04-01"
"317-20200401","317","Eemnes",1,9247,10.8,"2020-04-01"
"770-20200401","770","Eersel",13,19314,67.3,"2020-04-01"
"1903-20200401","1903","Eijsden-Margraten",6,25753,23.3,"2020-04-01"
"772-20200401","772","Eindhoven",62,234456,26.4,"2020-04-01"
"230-20200401","230","Elburg",4,23161,17.3,"2020-04-01"
"114-20200401","114","Emmen",6,107055,5.6,"2020-04-01"
"388-20200401","388","Enkhuizen",14,18592,75.3,"2020-04-01"
"153-20200401","153","Enschede",28,159734,17.5,"2020-04-01"
"232-20200401","232","Epe",10,33186,30.1,"2020-04-01"
"233-20200401","233","Ermelo",9,27005,33.3,"2020-04-01"
"777-20200401","777","Etten-Leur",23,43880,52.4,"2020-04-01"
"779-20200401","779","Geertruidenberg",7,21538,32.5,"2020-04-01"
"1771-20200401","1771","Geldrop-Mierlo",10,39733,25.2,"2020-04-01"
"1652-20200401","1652","Gemert-Bakel",56,30725,182.3,"2020-04-01"
"907-20200401","907","Gennep",11,16924,65,"2020-04-01"
"784-20200401","784","Gilze en Rijen",13,26438,49.2,"2020-04-01"
"1924-20200401","1924","Goeree-Overflakkee",26,50049,51.9,"2020-04-01"
"664-20200401","664","Goes",6,38080,15.8,"2020-04-01"
"785-20200401","785","Goirle",17,23906,71.1,"2020-04-01"
"1942-20200401","1942","Gooise Meren",15,58041,25.8,"2020-04-01"
"512-20200401","512","Gorinchem",10,37009,27,"2020-04-01"
"513-20200401","513","Gouda",13,73443,17.7,"2020-04-01"
"786-20200401","786","Grave",10,12437,80.4,"2020-04-01"
"14-20200401","14","Groningen",11,232922,4.7,"2020-04-01"
"1729-20200401","1729","Gulpen-Wittem",2,14176,14.1,"2020-04-01"
"158-20200401","158","Haaksbergen",6,24309,24.7,"2020-04-01"
"788-20200401","788","Haaren",14,14371,97.4,"2020-04-01"
"392-20200401","392","Haarlem",31,162961,19,"2020-04-01"
"394-20200401","394","Haarlemmermeer",32,156039,20.5,"2020-04-01"
"1655-20200401","1655","Halderberge",9,30277,29.7,"2020-04-01"
"160-20200401","160","Hardenberg",9,60940,14.8,"2020-04-01"
"243-20200401","243","Harderwijk",8,48429,16.5,"2020-04-01"
"523-20200401","523","Hardinxveld-Giessendam",1,18295,5.5,"2020-04-01"
"72-20200401","72","Harlingen",1,15720,6.4,"2020-04-01"
"244-20200401","244","Hattem",5,12213,40.9,"2020-04-01"
"396-20200401","396","Heemskerk",17,39188,43.4,"2020-04-01"
"397-20200401","397","Heemstede",5,27239,18.4,"2020-04-01"
"246-20200401","246","Heerde",19,18587,102.2,"2020-04-01"
"74-20200401","74","Heerenveen",7,50494,13.9,"2020-04-01"
"398-20200401","398","Heerhugowaard",19,57592,33,"2020-04-01"
"917-20200401","917","Heerlen",26,87057,29.9,"2020-04-01"
"1658-20200401","1658","Heeze-Leende",6,16150,37.2,"2020-04-01"
"399-20200401","399","Heiloo",5,23974,20.9,"2020-04-01"
"163-20200401","163","Hellendoorn",4,35923,11.1,"2020-04-01"
"530-20200401","530","Hellevoetsluis",6,40158,14.9,"2020-04-01"
"794-20200401","794","Helmond",38,92432,41.1,"2020-04-01"
"531-20200401","531","Hendrik-Ido-Ambacht",3,31204,9.6,"2020-04-01"
"164-20200401","164","Hengelo",7,81147,8.6,"2020-04-01"
"1966-20200401","1966","The Hogeland",4,47834,8.4,"2020-04-01"
"252-20200401","252","Heumen",8,16450,48.6,"2020-04-01"
"797-20200401","797","Heusden",25,44699,55.9,"2020-04-01"
"534-20200401","534","Hillegom",3,22208,13.5,"2020-04-01"
"798-20200401","798","Hilvarenbeek",5,15514,32.2,"2020-04-01"
"402-20200401","402","Hilversum",15,90883,16.5,"2020-04-01"
"1963-20200401","1963","Hoeksche Waard",30,87461,34.3,"2020-04-01"
"1735-20200401","1735","Hof van Twente",9,35013,25.7,"2020-04-01"
"1911-20200401","1911","Hollands Kroon",20,48434,41.3,"2020-04-01"
"118-20200401","118","Hoogeveen",5,55697,9,"2020-04-01"
"405-20200401","405","Hoorn",16,73232,21.8,"2020-04-01"
"1507-20200401","1507","Horst aan de Maas",25,42433,58.9,"2020-04-01"
"321-20200401","321","Houten",10,50146,19.9,"2020-04-01"
"406-20200401","406","Homes",12,41273,29.1,"2020-04-01"
"677-20200401","677","Hulst",4,27556,14.5,"2020-04-01"
"353-20200401","353","IJsselstein",18,34110,52.8,"2020-04-01"
"1884-20200401","1884","Kaag en Braassem",4,27300,14.7,"2020-04-01"
"166-20200401","166","Kampen",38,54340,69.9,"2020-04-01"
"678-20200401","678","Kapelle",1,12691,7.9,"2020-04-01"
"537-20200401","537","Katwijk",9,65754,13.7,"2020-04-01"
"928-20200401","928","Kerkrade",10,45744,21.9,"2020-04-01"
"1598-20200401","1598","Koggenland",6,22752,26.4,"2020-04-01"
"542-20200401","542","Krimpen aan den IJssel",3,29533,10.2,"2020-04-01"
"1931-20200401","1931","Krimpenerwaard",27,56319,47.9,"2020-04-01"
"1659-20200401","1659","Laarbeek",24,22530,106.5,"2020-04-01"
"1685-20200401","1685","Landerd",21,15730,133.5,"2020-04-01"
"882-20200401","882","Landgraaf",7,37457,18.7,"2020-04-01"
"415-20200401","415","Landsmeer",3,11492,26.1,"2020-04-01"
"416-20200401","416","Langedijk",8,28157,28.4,"2020-04-01"
"1621-20200401","1621","Lansingerland",16,62396,25.6,"2020-04-01"
"417-20200401","417","Laren",6,11274,53.2,"2020-04-01"
"80-20200401","80","Leeuwarden",19,124058,15.3,"2020-04-01"
"546-20200401","546","Leiden",18,125174,14.4,"2020-04-01"
"547-20200401","547","Leiderdorp",5,27059,18.5,"2020-04-01"
"1916-20200401","1916","Leidschendam-Voorburg",7,76553,9.1,"2020-04-01"
"995-20200401","995","Lelystad",25,78619,31.8,"2020-04-01"
"1640-20200401","1640","Leudal",33,35896,91.9,"2020-04-01"
"327-20200401","327","Leusden",5,30399,16.4,"2020-04-01"
"1705-20200401","1705","Lingewaard",17,46606,36.5,"2020-04-01"
"553-20200401","553","Lisse",3,22957,13.1,"2020-04-01"
"262-20200401","262","Lochem",2,33730,5.9,"2020-04-01"
"809-20200401","809","Loon op Zand",15,23407,64.1,"2020-04-01"
"331-20200401","331","Lopik",10,14471,69.1,"2020-04-01"
"24-20200401","24","Loppersum",0,9533,0,"2020-04-01"
"168-20200401","168","Losser",3,22685,13.2,"2020-04-01"
"263-20200401","263","Maasdriel",11,25034,43.9,"2020-04-01"
"1641-20200401","1641","Maasgouw",12,23960,50.1,"2020-04-01"
"556-20200401","556","Maassluis",8,33216,24.1,"2020-04-01"
"935-20200401","935","Maastricht",26,121558,21.4,"2020-04-01"
"420-20200401","420","Medemblik",10,45104,22.2,"2020-04-01"
"938-20200401","938","Meerssen",3,18832,15.9,"2020-04-01"
"1948-20200401","1948","Meierijstad",112,81197,137.9,"2020-04-01"
"119-20200401","119","Meppel",4,33902,11.8,"2020-04-01"
"687-20200401","687","Middelburg",12,48810,24.6,"2020-04-01"
"1842-20200401","1842","Midden-Delfland",2,19344,10.3,"2020-04-01"
"1731-20200401","1731","Midden-Drenthe",4,33182,12.1,"2020-04-01"
"1952-20200401","1952","Midden-Groningen",4,60804,6.6,"2020-04-01"
"815-20200401","815","Mill en Sint Hubert",6,10941,54.8,"2020-04-01"
"1709-20200401","1709","Moerdijk",6,37136,16.2,"2020-04-01"
"1978-20200401","1978","Molenlanden",10,43931,22.8,"2020-04-01"
"1955-20200401","1955","Montferland",4,36009,11.1,"2020-04-01"
"335-20200401","335","Montfoort",9,13920,64.7,"2020-04-01"
"944-20200401","944","Mook en Middelaar",3,7847,38.2,"2020-04-01"
"1740-20200401","1740","Neder-Betuwe",26,24342,106.8,"2020-04-01"
"946-20200401","946","Nederweert",24,17022,141,"2020-04-01"
"356-20200401","356","Nieuwegein",17,63461,26.8,"2020-04-01"
"569-20200401","569","Nieuwkoop",5,28809,17.4,"2020-04-01"
"267-20200401","267","Nijkerk",11,43176,25.5,"2020-04-01"
"268-20200401","268","Nijmegen",79,177698,44.5,"2020-04-01"
"1930-20200401","1930","Nissewaard",20,85237,23.5,"2020-04-01"
"1970-20200401","1970","Noardeast-Fryslân",4,45251,8.8,"2020-04-01"
"1695-20200401","1695","Noord-Beveland",0,7395,0,"2020-04-01"
"1699-20200401","1699","Noordenveld",1,31242,3.2,"2020-04-01"
"171-20200401","171","Noordoostpolder",6,47262,12.7,"2020-04-01"
"575-20200401","575","Noordwijk",8,43528,18.4,"2020-04-01"
"820-20200401","820","Nuenen, Gerwen en Nederwetten",9,23379,38.5,"2020-04-01"
"302-20200401","302","Nunspeet",17,27845,61.1,"2020-04-01"
"579-20200401","579","Oegstgeest",3,24843,12.1,"2020-04-01"
"823-20200401","823","Oirschot",6,18723,32,"2020-04-01"
"824-20200401","824","Oisterwijk",10,26241,38.1,"2020-04-01"
"1895-20200401","1895","Oldambt",1,38213,2.6,"2020-04-01"
"269-20200401","269","Oldebroek",8,23645,33.8,"2020-04-01"
"173-20200401","173","Oldenzaal",8,31832,25.1,"2020-04-01"
"1773-20200401","1773","Olst-Wijhe",5,18251,27.4,"2020-04-01"
"175-20200401","175","Ommen",4,18007,22.2,"2020-04-01"
"1586-20200401","1586","Oost Gelre",2,29623,6.8,"2020-04-01"
"826-20200401","826","Oosterhout",24,55990,42.9,"2020-04-01"
"85-20200401","85","Ooststellingwerf",1,25472,3.9,"2020-04-01"
"431-20200401","431","Oostzaan",3,9733,30.8,"2020-04-01"
"432-20200401","432","Opmeer",1,11837,8.4,"2020-04-01"
"86-20200401","86","Opsterland",4,29742,13.4,"2020-04-01"
"828-20200401","828","Oss",78,91932,84.8,"2020-04-01"
"1509-20200401","1509","Oude IJsselstreek",2,39392,5.1,"2020-04-01"
"437-20200401","437","Ouder-Amstel",3,14029,21.4,"2020-04-01"
"589-20200401","589","Oudewater",15,10226,146.7,"2020-04-01"
"1734-20200401","1734","Overbetuwe",38,47909,79.3,"2020-04-01"
"590-20200401","590","Papendrecht",1,32133,3.1,"2020-04-01"
"1894-20200401","1894","Peel en Maas",107,43420,246.4,"2020-04-01"
"765-20200401","765","Pekela",4,12199,32.8,"2020-04-01"
"1926-20200401","1926","Pijnacker-Nootdorp",10,55329,18.1,"2020-04-01"
"439-20200401","439","Purmerend",37,81233,45.5,"2020-04-01"
"273-20200401","273","Putten",1,24113,4.1,"2020-04-01"
"177-20200401","177","Raalte",16,37709,42.4,"2020-04-01"
"703-20200401","703","Reimerswaal",4,22728,17.6,"2020-04-01"
"274-20200401","274","Renkum",11,31404,35,"2020-04-01"
"339-20200401","339","Renswoude",1,5448,18.4,"2020-04-01"
"1667-20200401","1667","Reusel-De Mierden",4,13110,30.5,"2020-04-01"
"275-20200401","275","Rheden",22,43736,50.3,"2020-04-01"
"340-20200401","340","Rhenen",3,20125,14.9,"2020-04-01"
"597-20200401","597","Ridderkerk",22,46204,47.6,"2020-04-01"
"1742-20200401","1742","Rijssen-Holten",8,38178,21,"2020-04-01"
"603-20200401","603","Rijswijk",12,54432,22,"2020-04-01"
"1669-20200401","1669","Roerdalen",16,20572,77.8,"2020-04-01"
"957-20200401","957","Roermond",30,58254,51.5,"2020-04-01"
"1674-20200401","1674","Roosendaal",12,77226,15.5,"2020-04-01"
"599-20200401","599","Rotterdam",132,651376,20.3,"2020-04-01"
"277-20200401","277","Rozendaal",1,1705,58.7,"2020-04-01"
"840-20200401","840","Rucphen",4,22873,17.5,"2020-04-01"
"518-20200401","518","s-Gravenhage",96,545163,17.6,"2020-04-01"
"441-20200401","441","Schagen",10,46482,21.5,"2020-04-01"
"279-20200401","279","Scherpenzeel",0,9880,0,"2020-04-01"
"606-20200401","606","Schiedam",21,78739,26.7,"2020-04-01"
"88-20200401","88","Schiermonnikoog",0,947,0,"2020-04-01"
"1676-20200401","1676","Schouwen-Duiveland",7,33858,20.7,"2020-04-01"
"965-20200401","965","Simpelveld",2,10552,19,"2020-04-01"
"1702-20200401","1702","Sint Anthonis",14,11672,119.9,"2020-04-01"
"845-20200401","845","Sint-Michielsgestel",14,29203,47.9,"2020-04-01"
"1883-20200401","1883","Sittard-Geleen",25,92422,27,"2020-04-01"
"610-20200401","610","Sliedrecht",2,25217,7.9,"2020-04-01"
"1714-20200401","1714","Sluis",4,23217,17.2,"2020-04-01"
"90-20200401","90","Smallingerland",5,56154,8.9,"2020-04-01"
"342-20200401","342","Soest",9,46607,19.3,"2020-04-01"
"847-20200401","847","Someren",13,19376,67.1,"2020-04-01"
"848-20200401","848","Son en Breugel",18,17321,103.9,"2020-04-01"
"37-20200401","37","Stadskanaal",0,31688,0,"2020-04-01"
"180-20200401","180","Staphorst",1,17144,5.8,"2020-04-01"
"532-20200401","532","Stede Broec",11,21734,50.6,"2020-04-01"
"851-20200401","851","Steenbergen",7,24501,28.6,"2020-04-01"
"1708-20200401","1708","Steenwijkerland",7,44139,15.9,"2020-04-01"
"971-20200401","971","Stein",11,25000,44,"2020-04-01"
"1904-20200401","1904","Stichtse Vecht",16,64928,24.6,"2020-04-01"
"1900-20200401","1900","Súdwest-Fryslân",13,89987,14.4,"2020-04-01"
"715-20200401","715","Terneuzen",13,54438,23.9,"2020-04-01"
"93-20200401","93","Terschelling",0,4889,0,"2020-04-01"
"448-20200401","448","Texel",1,13573,7.4,"2020-04-01"
"1525-20200401","1525","Teylingen",7,37426,18.7,"2020-04-01"
"716-20200401","716","Tholen",23,25758,89.3,"2020-04-01"
"281-20200401","281","Tiel",21,42161,49.8,"2020-04-01"
"855-20200401","855","Tilburg",119,219800,54.1,"2020-04-01"
"183-20200401","183","Tubbergen",7,21279,32.9,"2020-04-01"
"1700-20200401","1700","Twenterand",5,33743,14.8,"2020-04-01"
"1730-20200401","1730","Tynaarlo",5,33879,14.8,"2020-04-01"
"737-20200401","737","Tytsjerksteradiel",1,32046,3.1,"2020-04-01"
"856-20200401","856","Uden",73,42122,173.3,"2020-04-01"
"450-20200401","450","Uitgeest",3,13649,22,"2020-04-01"
"451-20200401","451","Uithoorn",9,29466,30.5,"2020-04-01"
"184-20200401","184","Urk",11,21033,52.3,"2020-04-01"
"344-20200401","344","Utrecht",80,357694,22.4,"2020-04-01"
"1581-20200401","1581","Utrechtse Heuvelrug",10,49601,20.2,"2020-04-01"
"981-20200401","981","Vaals",2,10099,19.8,"2020-04-01"
"994-20200401","994","Valkenburg aan de Geul",2,16360,12.2,"2020-04-01"
"858-20200401","858","Valkenswaard",8,31200,25.6,"2020-04-01"
"47-20200401","47","Veendam",1,27387,3.7,"2020-04-01"
"345-20200401","345","Veenendaal",7,66491,10.5,"2020-04-01"
"717-20200401","717","Veere",3,21885,13.7,"2020-04-01"
"861-20200401","861","Veldhoven",8,45458,17.6,"2020-04-01"
"453-20200401","453","Velsen",15,68660,21.8,"2020-04-01"
"983-20200401","983","Venlo",66,101797,64.8,"2020-04-01"
"984-20200401","984","Venray",22,43604,50.5,"2020-04-01"
"1961-20200401","1961","Vijfheerenlanden",11,56816,19.4,"2020-04-01"
"622-20200401","622","Vlaardingen",15,73445,20.4,"2020-04-01"
"96-20200401","96","Vlieland",0,1152,0,"2020-04-01"
"718-20200401","718","Vlissingen",6,44365,13.5,"2020-04-01"
"986-20200401","986","Voerendaal",2,12471,16,"2020-04-01"
"626-20200401","626","Voorschoten",5,25603,19.5,"2020-04-01"
"285-20200401","285","Voorst",3,24546,12.2,"2020-04-01"
"865-20200401","865","Vught",24,26554,90.4,"2020-04-01"
"1949-20200401","1949","Waadhoeke",4,46079,8.7,"2020-04-01"
"866-20200401","866","Waalre",1,17454,5.7,"2020-04-01"
"867-20200401","867","Waalwijk",16,48620,32.9,"2020-04-01"
"627-20200401","627","Waddinxveen",6,29293,20.5,"2020-04-01"
"289-20200401","289","Wageningen",6,39673,15.1,"2020-04-01"
"629-20200401","629","Wassenaar",2,26214,7.6,"2020-04-01"
"852-20200401","852","Waterland",8,17422,45.9,"2020-04-01"
"988-20200401","988","Weert",30,50107,59.9,"2020-04-01"
"457-20200401","457","Weesp",4,19729,20.3,"2020-04-01"
"1960-20200401","1960","West Betuwe",14,51198,27.3,"2020-04-01"
"668-20200401","668","West Maas en Waal",9,19320,46.6,"2020-04-01"
"1969-20200401","1969","Westerkwartier",9,63375,14.2,"2020-04-01"
"1701-20200401","1701","Westerveld",1,19460,5.1,"2020-04-01"
"293-20200401","293","Westervoort",3,14973,20,"2020-04-01"
"1950-20200401","1950","Westerwolde",4,25796,15.5,"2020-04-01"
"1783-20200401","1783","Westland",26,110357,23.6,"2020-04-01"
"98-20200401","98","Weststellingwerf",2,25916,7.7,"2020-04-01"
"614-20200401","614","Westvoorne",4,14728,27.2,"2020-04-01"
"189-20200401","189","Wierden",2,24440,8.2,"2020-04-01"
"296-20200401","296","Wijchen",30,41124,73,"2020-04-01"
"1696-20200401","1696","Wijdemeren",4,24360,16.4,"2020-04-01"
"352-20200401","352","Wijk bij Duurstede",7,23910,29.3,"2020-04-01"
"294-20200401","294","Winterswijk",1,28865,3.5,"2020-04-01"
"873-20200401","873","Woensdrecht",4,21883,18.3,"2020-04-01"
"632-20200401","632","Woerden",25,52294,47.8,"2020-04-01"
"880-20200401","880","Wormerland",9,16299,55.2,"2020-04-01"
"351-20200401","351","Woudenberg",2,13362,15,"2020-04-01"
"479-20200401","479","Zaanstad",34,156711,21.7,"2020-04-01"
"297-20200401","297","Zaltbommel",9,28901,31.1,"2020-04-01"
"473-20200401","473","Zandvoort",4,17116,23.4,"2020-04-01"
"50-20200401","50","Zeewolde",4,22656,17.7,"2020-04-01"
"355-20200401","355","Zeist",13,64932,20,"2020-04-01"
"299-20200401","299","Zevenaar",18,43740,41.2,"2020-04-01"
"637-20200401","637","Zoetermeer",22,125283,17.6,"2020-04-01"
"638-20200401","638","Zoeterwoude",2,8611,23.2,"2020-04-01"
"1892-20200401","1892","Zuidplas",10,43894,22.8,"2020-04-01"
"879-20200401","879","Zundert",13,21821,59.6,"2020-04-01"
"301-20200401","301","Zutphen",8,47942,16.7,"2020-04-01"
"1896-20200401","1896","Zwartewaterland",20,22690,88.1,"2020-04-01"
"642-20200401","642","Zwijndrecht",9,44741,20.1,"2020-04-01"
"193-20200401","193","Zwolle",28,128831,21.7,"2020-04-01"
"796-20200402","796","'s-Hertogenbosch",72,155113,46.4,"2020-04-02"
"1680-20200402","1680","Aa en Hunze",1,25453,3.9,"2020-04-02"
"358-20200402","358","Aalsmeer",6,31857,18.8,"2020-04-02"
"197-20200402","197","Aalten",1,27117,3.7,"2020-04-02"
"59-20200402","59","Achtkarspelen",0,27836,0,"2020-04-02"
"482-20200402","482","Alblasserdam",3,20165,14.9,"2020-04-02"
"613-20200402","613","Albrandswaard",5,25589,19.5,"2020-04-02"
"361-20200402","361","Alkmaar",24,109444,21.9,"2020-04-02"
"141-20200402","141","Almelo",12,73080,16.4,"2020-04-02"
"34-20200402","34","Almere",61,211840,28.8,"2020-04-02"
"484-20200402","484","Alphen aan den Rijn",33,111889,29.5,"2020-04-02"
"1723-20200402","1723","Alphen-Chaam",10,10213,97.9,"2020-04-02"
"1959-20200402","1959","Altena",19,55980,33.9,"2020-04-02"
"60-20200402","60","Ameland",0,3718,0,"2020-04-02"
"307-20200402","307","Amersfoort",28,157279,17.8,"2020-04-02"
"362-20200402","362","Amstelveen",31,91691,33.8,"2020-04-02"
"363-20200402","363","Amsterdam",263,872779,30.1,"2020-04-02"
"200-20200402","200","Apeldoorn",22,163829,13.4,"2020-04-02"
"3-20200402","3","Appingedam",1,11644,8.6,"2020-04-02"
"202-20200402","202","Arnhem",33,161368,20.5,"2020-04-02"
"106-20200402","106","Assen",7,68606,10.2,"2020-04-02"
"743-20200402","743","Asten",6,16734,35.9,"2020-04-02"
"744-20200402","744","Baarle-Nassau",1,6860,14.6,"2020-04-02"
"308-20200402","308","Baarn",4,24873,16.1,"2020-04-02"
"489-20200402","489","Barendrecht",18,48713,37,"2020-04-02"
